"time_period","avg_price","avg_demand","count","time","diff"
"morning","10.836698569905453","0.10521779318313113","18","1751867899912","1"
"afternoon","11.267716550385918","0.16035839665822335","39","1751867899912","1"
"evening","11.5682984208541","0.19882842287694977","6","1751867899912","1"
"afternoon","11.267716550385918","0.16035839665822335","39","1751867899914","-1"
"afternoon","11.264392571262743","0.15991962738301554","40","1751867899914","1"
"afternoon","11.264392571262743","0.15991962738301554","40","1751867899916","-1"
"afternoon","11.260521109265984","0.1593993975406453","42","1751867899916","1"
"afternoon","11.260521109265984","0.1593993975406453","42","1751867899926","-1"
"afternoon","11.271563201666202","0.16083716374048676","46","1751867899926","1"
"morning","10.836698569905453","0.10521779318313113","18","1751867901128","-1"
"evening","11.5682984208541","0.19882842287694977","6","1751867901128","-1"
"afternoon","11.271563201666202","0.16083716374048676","46","1751867901128","-1"
"afternoon","11.460675657314503","0.18609053178874396","114","1751867901128","1"
"morning","10.879696582969284","0.11085312536106293","45","1751867901128","1"
"evening","11.710046015430716","0.22051133737723858","15","1751867901128","1"
"afternoon","11.460675657314503","0.18609053178874396","114","1751867901150","-1"
"afternoon","11.457749862615715","0.18567706528018488","117","1751867901150","1"
"afternoon","11.457749862615715","0.18567706528018488","117","1751867901154","-1"
"afternoon","11.455146731222618","0.18533087565725703","118","1751867901154","1"
"evening","11.710046015430716","0.22051133737723858","15","1751867901158","-1"
"evening","11.706045330560425","0.21977525184142116","16","1751867901158","1"
"morning","10.879696582969284","0.11085312536106293","45","1751867901174","-1"
"evening","11.706045330560425","0.21977525184142116","16","1751867901174","-1"
"evening","11.654287385448203","0.21294373789377102","17","1751867901174","1"
"morning","10.882132748522634","0.11115967177165488","49","1751867901174","1"
"morning","10.882132748522634","0.11115967177165488","49","1751867901866","-1"
"evening","11.654287385448203","0.21294373789377102","17","1751867901866","-1"
"afternoon","11.455146731222618","0.18533087565725703","118","1751867901866","-1"
"afternoon","11.492892735740293","0.19019268739735234","191","1751867901866","1"
"morning","10.915223141274506","0.11530758108442686","70","1751867901866","1"
"evening","11.774336235953532","0.2301872237868284","24","1751867901866","1"
"morning","10.915223141274506","0.11530758108442686","70","1751867902588","-1"
"evening","11.774336235953532","0.2301872237868284","24","1751867902588","-1"
"afternoon","11.492892735740293","0.19019268739735234","191","1751867902588","-1"
"afternoon","11.540093372133274","0.19651078030865726","252","1751867902588","1"
"evening","11.764040442474002","0.22939285374853244","31","1751867902588","1"
"morning","10.92539232542673","0.11670299370610233","95","1751867902588","1"
"morning","10.92539232542673","0.11670299370610233","95","1751867903732","-1"
"evening","11.764040442474002","0.22939285374853244","31","1751867903732","-1"
"afternoon","11.540093372133274","0.19651078030865726","252","1751867903732","-1"
"afternoon","11.69460356191443","0.217402005309726","361","1751867903732","1"
"morning","11.088996627160011","0.13889052408035735","142","1751867903732","1"
"evening","11.908250944028305","0.2489143443096476","45","1751867903732","1"
