"vehicle_type","avg_price","avg_demand","count","time","diff"
"Bike","12.249664942521953","0.296339027470941","737","1751867929316","-1"
"Truck","12.751288384616387","0.367264197429689","402","1751867929316","-1"
"Car","12.400677975913487","0.31694900412656285","2625","1751867929316","-1"
"Car","12.398045281461238","0.31644387259154316","2721","1751867929316","1"
"Truck","12.743063727118486","0.36603472051749986","411","1751867929316","1"
"Bike","12.260903049695017","0.2976675393262667","771","1751867929316","1"
"Truck","12.743063727118486","0.36603472051749986","411","1751867930300","-1"
"Bike","12.260903049695017","0.2976675393262667","771","1751867930300","-1"
"Car","12.398045281461238","0.31644387259154316","2721","1751867930300","-1"
"Car","12.411389123297186","0.31819258453432203","2813","1751867930300","1"
"Truck","12.758363661945937","0.3679433222558208","429","1751867930300","1"
"Bike","12.27489861548175","0.2994186755952253","798","1751867930300","1"
"Truck","12.758363661945937","0.3679433222558208","429","1751867931322","-1"
"Bike","12.27489861548175","0.2994186755952253","798","1751867931322","-1"
"Car","12.411389123297186","0.31819258453432203","2813","1751867931322","-1"
"Car","12.421412638553752","0.31940597404973514","2914","1751867931322","1"
"Truck","12.770079379460158","0.3695429206420649","439","1751867931322","1"
"Bike","12.288148650613046","0.3010042548776189","831","1751867931322","1"
"Truck","12.770079379460158","0.3695429206420649","439","1751867932540","-1"
"Bike","12.288148650613046","0.3010042548776189","831","1751867932540","-1"
"Car","12.421412638553752","0.31940597404973514","2914","1751867932540","-1"
"Car","12.435433089822045","0.32112904558903116","3046","1751867932540","1"
"Truck","12.797123870853998","0.37309539809901315","468","1751867932540","1"
"Bike","12.300098621991182","0.3024458142955196","869","1751867932540","1"
"Truck","12.797123870853998","0.37309539809901315","468","1751867934424","-1"
"Bike","12.300098621991182","0.3024458142955196","869","1751867934424","-1"
"Car","12.435433089822045","0.32112904558903116","3046","1751867934424","-1"
"Car","12.473625643434358","0.3265175954761355","3243","1751867934424","1"
"Truck","12.8140837520695","0.37543547446308806","497","1751867934424","1"
"Bike","12.329630154797357","0.306469254922488","925","1751867934424","1"
"Truck","12.8140837520695","0.37543547446308806","497","1751867936356","-1"
"Bike","12.329630154797357","0.306469254922488","925","1751867936356","-1"
"Car","12.473625643434358","0.3265175954761355","3243","1751867936356","-1"
"Car","12.487015334450538","0.3282915296473583","3397","1751867936356","1"
"Truck","12.830590028501417","0.3777924435532727","512","1751867936356","1"
"Bike","12.338557318869324","0.3075876544548107","963","1751867936356","1"
"Truck","12.830590028501417","0.3777924435532727","512","1751867937364","-1"
"Bike","12.338557318869324","0.3075876544548107","963","1751867937364","-1"
"Car","12.487015334450538","0.3282915296473583","3397","1751867937364","-1"
"Car","12.49931980418178","0.3300275187195901","3504","1751867937364","1"
"Truck","12.842819169011195","0.379624965751882","520","1751867937364","1"
"Bike","12.35672386095491","0.31018929864100037","997","1751867937364","1"
"Truck","12.842819169011195","0.379624965751882","520","1751867938456","-1"
"Bike","12.35672386095491","0.31018929864100037","997","1751867938456","-1"
"Car","12.49931980418178","0.3300275187195901","3504","1751867938456","-1"
"Car","12.511807744824404","0.3316655192904699","3602","1751867938456","1"
"Truck","12.854402696253786","0.381136050638673","534","1751867938456","1"
"Bike","12.370901502718812","0.3120288686827183","1024","1751867938456","1"
"Bike","12.370901502718812","0.3120288686827183","1024","1751867939770","-1"
"Truck","12.854402696253786","0.381136050638673","534","1751867939770","-1"
"Car","12.511807744824404","0.3316655192904699","3602","1751867939770","-1"
"Car","12.509062882159109","0.331158466641182","3730","1751867939770","1"
"Bike","12.368880510566136","0.31163541701940084","1060","1751867939770","1"
"Truck","12.85310568527507","0.3808267186094262","548","1751867939770","1"
"Bike","12.368880510566136","0.31163541701940084","1060","1751867940888","-1"
"Truck","12.85310568527507","0.3808267186094262","548","1751867940888","-1"
"Car","12.509062882159109","0.331158466641182","3730","1751867940888","-1"
"Car","12.48795092648557","0.3281650188071532","3841","1751867940888","1"
"Bike","12.34597786264195","0.30842587633202156","1094","1751867940888","1"
"Truck","12.826470048152348","0.3769337934352059","569","1751867940888","1"
"Bike","12.34597786264195","0.30842587633202156","1094","1751867941976","-1"
"Truck","12.826470048152348","0.3769337934352059","569","1751867941976","-1"
"Car","12.48795092648557","0.3281650188071532","3841","1751867941976","-1"
"Car","12.469333719308544","0.32549465585459963","3955","1751867941976","1"
"Bike","12.327090890011675","0.3057599187786757","1124","1751867941976","1"
"Truck","12.814496391394114","0.37515333643862775","579","1751867941976","1"
"Bike","12.327090890011675","0.3057599187786757","1124","1751867943542","-1"
"Truck","12.814496391394114","0.37515333643862775","579","1751867943542","-1"
"Car","12.469333719308544","0.32549465585459963","3955","1751867943542","-1"
"Car","12.460630448158694","0.3243042607676698","4062","1751867943542","1"
"Truck","12.798511801262478","0.3728650333852384","603","1751867943542","1"
"Bike","12.331563749269556","0.3063924094929914","1156","1751867943542","1"
