"day_category","avg_price","avg_demand","count","time","diff"
"weekday","11.173195400769421","0.1482677505433138","63","1751867899912","1"
"weekday","11.173195400769421","0.1482677505433138","63","1751867899914","-1"
"weekday","11.172594806780193","0.1481824360918544","64","1751867899914","1"
"weekday","11.172594806780193","0.1481824360918544","64","1751867899916","-1"
"weekday","11.172912899584757","0.14820705320098734","66","1751867899916","1"
"weekday","11.172912899584757","0.14820705320098734","66","1751867899926","-1"
"weekday","11.185175315143827","0.1497914335231493","70","1751867899926","1"
"weekday","11.185175315143827","0.1497914335231493","70","1751867901128","-1"
"weekday","11.15912314149937","0.14648228279707634","138","1751867901128","1"
"weekend","11.994307440889408","0.25821739721740805","36","1751867901128","1"
"weekday","11.15912314149937","0.14648228279707634","138","1751867901150","-1"
"weekday","11.163111365383674","0.14698192226852025","141","1751867901150","1"
"weekday","11.163111365383674","0.14698192226852025","141","1751867901154","-1"
"weekday","11.163023118854424","0.14696674457490175","142","1751867901154","1"
"weekday","11.163023118854424","0.14696674457490175","142","1751867901158","-1"
"weekday","11.16640082471912","0.1473986832058756","143","1751867901158","1"
"weekday","11.16640082471912","0.1473986832058756","143","1751867901174","-1"
"weekday","11.157159707043771","0.1462167870860462","148","1751867901174","1"
"weekday","11.157159707043771","0.1462167870860462","148","1751867901866","-1"
"weekend","11.994307440889408","0.25821739721740805","36","1751867901866","-1"
"weekend","11.89903378885419","0.24568983788272675","72","1751867901866","1"
"weekday","11.197473095215932","0.15132938503348228","213","1751867901866","1"
"weekday","11.197473095215932","0.15132938503348228","213","1751867902588","-1"
"weekend","11.89903378885419","0.24568983788272675","72","1751867902588","-1"
"weekend","11.860098003703822","0.24088708878939602","108","1751867902588","1"
"weekday","11.221520259295572","0.15445508858078177","270","1751867902588","1"
"weekday","11.221520259295572","0.15445508858078177","270","1751867903732","-1"
"weekend","11.860098003703822","0.24088708878939602","108","1751867903732","-1"
"weekend","11.83153896210835","0.236875107178692","152","1751867903732","1"
"weekday","11.449158528153117","0.18535532206816863","396","1751867903732","1"
"weekend","11.83153896210835","0.236875107178692","152","1751867904994","-1"
"weekday","11.449158528153117","0.18535532206816863","396","1751867904994","-1"
"weekday","11.435464542018206","0.18367579319457075","505","1751867904994","1"
"weekend","11.835167730339395","0.23773454028660376","216","1751867904994","1"
"weekday","11.435464542018206","0.18367579319457075","505","1751867905050","-1"
"weekday","11.430941741249667","0.18303346537921927","525","1751867905050","1"
"weekend","11.835167730339395","0.23773454028660376","216","1751867906136","-1"
"weekday","11.430941741249667","0.18303346537921927","525","1751867906136","-1"
"weekday","11.384092541633205","0.1767518155643763","620","1751867906136","1"
"weekend","11.874856639772489","0.2433717922134192","252","1751867906136","1"
"weekday","11.384092541633205","0.1767518155643763","620","1751867906916","-1"
"weekend","11.874856639772489","0.2433717922134192","252","1751867906916","-1"
"weekday","11.41840327220844","0.1814198874112381","689","1751867906916","1"
"weekend","11.91680799917919","0.24938274465025037","288","1751867906916","1"
"weekday","11.41840327220844","0.1814198874112381","689","1751867908014","-1"
"weekday","11.42312259526501","0.18212306491966476","798","1751867908014","1"
"weekend","11.91680799917919","0.24938274465025037","288","1751867908812","-1"
"weekday","11.42312259526501","0.18212306491966476","798","1751867908812","-1"
"weekday","11.402613451316716","0.17934345378854566","878","1751867908812","1"
"weekend","11.930237110533522","0.2513790650341271","324","1751867908812","1"
"weekend","11.930237110533522","0.2513790650341271","324","1751867909596","-1"
"weekday","11.402613451316716","0.17934345378854566","878","1751867909596","-1"
"weekend","11.923668682037189","0.2504195485509339","360","1751867909596","1"
"weekday","11.402568544670721","0.17931014022370662","965","1751867909596","1"
"weekday","11.402568544670721","0.17931014022370662","965","1751867910476","-1"
"weekend","11.923668682037189","0.2504195485509339","360","1751867910476","-1"
"weekday","11.495066954461556","0.19162811656760023","1050","1751867910476","1"
"weekend","12.011706395951398","0.26266876030404895","396","1751867910476","1"
"weekday","11.495066954461556","0.19162811656760023","1050","1751867912634","-1"
"weekend","12.011706395951398","0.26266876030404895","396","1751867912634","-1"
"weekday","11.651883192036651","0.2126157920113972","1218","1751867912634","1"
"weekend","12.191593877987565","0.28813202079946615","468","1751867912634","1"
"weekday","11.651883192036651","0.2126157920113972","1218","1751867914082","-1"
"weekend","12.191593877987565","0.28813202079946615","468","1751867914082","-1"
"weekday","11.76841436201371","0.2287797932380332","1348","1751867914082","1"
"weekend","12.264603375276215","0.2983829611777317","532","1751867914082","1"
"weekday","11.76841436201371","0.2287797932380332","1348","1751867915138","-1"
"weekend","12.264603375276215","0.2983829611777317","532","1751867915138","-1"
"weekday","11.848299196186654","0.23972757252152596","1462","1751867915138","1"
"weekend","12.32962706691933","0.3074717012952023","576","1751867915138","1"
"weekday","11.848299196186654","0.23972757252152596","1462","1751867917496","-1"
"weekend","12.32962706691933","0.3074717012952023","576","1751867917496","-1"
"weekday","11.999343605834317","0.26081775450354266","1649","1751867917496","1"
"weekend","12.492351052286608","0.3315786445039244","648","1751867917496","1"
"weekday","11.999343605834317","0.26081775450354266","1649","1751867919432","-1"
"weekend","12.492351052286608","0.3315786445039244","648","1751867919432","-1"
"weekday","12.155928869792522","0.2827342956357938","1886","1751867919432","1"
"weekend","12.567917743471758","0.3428097516434263","692","1751867919432","1"
"weekday","12.155928869792522","0.2827342956357938","1886","1751867921876","-1"
"weekend","12.567917743471758","0.3428097516434263","692","1751867921876","-1"
"weekend","12.520483911803394","0.3361546791564872","792","1751867921876","1"
"weekday","12.23118887106422","0.29282069728004473","2098","1751867921876","1"
